,Rec,Yds,Avg,YPG,Long,TD,20+,Tar,YAC,SId,TId,PId,Player
0,0,0,0.00,0.0,0,0,--,0,0,S5,T19,P2366,/players/nate-solder-soldena01
1,0,0,0.00,0.0,0,0,--,0,0,S4,T19,P2366,/players/nate-solder-soldena01
2,0,0,0.00,0.0,0,0,--,0,0,S3,T21,P2366,/players/nate-solder-soldena01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T21,P2366,/players/nate-solder-soldena01
0,0,0,0.00,0.0,0,0,0,0,0,S2,T21,P2369,/players/josiah-tauaefa-tauaejo01
0,27,151,5.59,10.1,15,0,--,35,132,S5,T17,P2370,/players/jay-ajayi-ajayija01
1,14,67,4.79,9.6,15,0,--,20,67,S4,T17,P2370,/players/jay-ajayi-ajayija01
2,5,20,4.00,5.0,12,0,--,6,30,S3,T24,P2370,/players/jay-ajayi-ajayija01
3,0,0,0.00,0.0,0,0,0,1,0,S2,T24,P2370,/players/jay-ajayi-ajayija01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T24,P2371,/players/brandon-brooks-brookbr01
1,0,0,0.00,0.0,0,0,--,0,0,S4,T24,P2371,/players/brandon-brooks-brookbr01
2,0,0,0.00,0.0,0,0,--,0,0,S3,T24,P2371,/players/brandon-brooks-brookbr01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T24,P2371,/players/brandon-brooks-brookbr01
0,0,0,0.00,0.0,0,0,--,0,0,S4,T32,P2373,/players/robert-davis-davisro09
1,0,0,0.00,0.0,0,0,--,0,0,S3,T32,P2373,/players/robert-davis-davisro09
2,1,11,11.00,3.7,11,0,0,2,0,S2,T32,P2373,/players/robert-davis-davisro09
0,0,0,0.00,0.0,0,0,0,0,0,S2,T24,P2374,/players/andre-dillard-dillaan01
0,3,11,3.67,1.8,6,0,--,4,4,S5,T15,P2375,/players/alex-ellis-ellisal02
1,0,0,0.00,0.0,0,0,--,0,0,S4,T15,P2375,/players/alex-ellis-ellisal02
2,0,0,0.00,0.0,0,0,--,0,0,S3,T16,P2375,/players/alex-ellis-ellisal02
3,0,0,0.00,0.0,0,0,0,0,0,S2,T24,P2375,/players/alex-ellis-ellisal02
0,2,11,5.50,2.2,6,0,--,3,-3,S4,T24,P2376,/players/shelton-gibson-gibsosh01
1,1,48,48.00,3.2,48,0,--,3,0,S3,T24,P2376,/players/shelton-gibson-gibsosh01
2,0,0,0.00,0.0,0,0,0,0,0,S2,T24,P2376,/players/shelton-gibson-gibsosh01
0,0,0,0.00,0.0,0,0,--,0,0,S4,T5,P2377,/players/daeshon-hall-hallda07
1,0,0,0.00,0.0,0,0,--,0,0,S3,T5,P2377,/players/daeshon-hall-hallda07
2,0,0,0.00,0.0,0,0,0,0,0,S2,T24,P2377,/players/daeshon-hall-hallda07
0,0,0,0.00,0.0,0,0,--,0,0,S3,T24,P2378,/players/bruce-hector-hectobr01
1,0,0,0.00,0.0,0,0,0,0,0,S2,T1,P2378,/players/bruce-hector-hectobr01
0,0,0,0.00,0.0,0,0,0,0,0,S2,T24,P2379,/players/shareef-miller-millesh03
0,3,42,14.00,5.2,26t,1,--,5,13,S5,T2,P2380,/players/joshua-perkins-perkijo02
1,0,0,0.00,0.0,0,0,--,0,0,S4,T2,P2380,/players/joshua-perkins-perkijo02
2,5,67,13.40,7.4,30,0,--,11,16,S3,T24,P2380,/players/joshua-perkins-perkijo02
3,9,87,9.67,17.4,24t,1,1,13,26,S2,T24,P2380,/players/joshua-perkins-perkijo02
0,52,427,8.21,28.5,73t,2,--,71,407,S5,T24,P2382,/players/darren-sproles-sprolda01
1,7,73,10.43,24.3,16,0,--,12,83,S4,T24,P2382,/players/darren-sproles-sprolda01
2,15,160,10.67,26.7,37t,2,--,23,127,S3,T24,P2382,/players/darren-sproles-sprolda01
