,FGM,FGA,FPct,0-19,20-29,30-39,40-49,50+,Long,XPM,XPA,XPct,Pts,SId,TId,PId,Player
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S5,T8,P2248,/players/kasey-redfern-redfeka01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T11,P2248,/players/kasey-redfern-redfeka01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T2,P2248,/players/kasey-redfern-redfeka01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S5,T9,P2251,/players/matt-wile-wilema01
1,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S4,T1,P2251,/players/matt-wile-wilema01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T18,P2251,/players/matt-wile-wilema01
3,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T2,P2251,/players/matt-wile-wilema01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S5,T14,P2262,/players/michael-palardy-palarmi01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T5,P2262,/players/michael-palardy-palarmi01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T5,P2262,/players/michael-palardy-palarmi01
3,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T5,P2262,/players/michael-palardy-palarmi01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S3,T23,P2278,/players/eddy-pineiro-pineied01
1,23,28,82.1,1-1,8-8,9-10,3-7,2-2,53,27,29,93.1,96,S2,T6,P2278,/players/eddy-pineiro-pineied01
0,29,36,80.6,0-0,10-10,6-8,7-11,6-7,62,32,33,97.0,119,S3,T9,P2287,/players/brett-maher-maherbr02
1,20,30,66.7,0-0,9-9,6-8,1-5,4-8,63,36,36,100.0,96,S2,T9,P2287,/players/brett-maher-maherbr02
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T4,P2363,/players/david-sills-sillsda01
0,27,31,87.1,0-0,3-3,7-7,10-12,7-9,54,44,44,100.0,125,S5,T14,P2513,/players/adam-vinatieri-vinatad01
1,29,34,85.3,0-0,11-11,7-10,6-7,5-6,54,22,24,91.7,109,S4,T14,P2513,/players/adam-vinatieri-vinatad01
